,gender,age,hypertension,heart_disease,smoking_history,bmi,HbA1c_level,blood_glucose_level,diabetes
count,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
mean,0.41466,41.885856,0.07485,0.03942,2.17965,27.3207671,5.527507,138.05806,0.085
std,0.4930309475024381,22.516839871617023,0.2631504702289164,0.1945930169980995,1.8896591188931022,6.636783416648369,1.0706720918835437,40.708136048704134,0.27888308976662174
min,0.0,0.08,0.0,0.0,0.0,10.01,3.5,80.0,0.0
25%,0.0,24.0,0.0,0.0,0.0,23.63,4.8,100.0,0.0
50%,0.0,43.0,0.0,0.0,3.0,27.32,5.8,140.0,0.0
75%,1.0,60.0,0.0,0.0,4.0,29.58,6.2,159.0,0.0
max,2.0,80.0,1.0,1.0,5.0,95.69,9.0,300.0,1.0
